master_metadata_track_name,reproducciones,artista
All I Want,334,A Day To Remember
The Middle,317,Jimmy Eat World
HUMBLE.,316,Kendrick Lamar
Sober Up (feat. Rivers Cuomo),276,AJR
Someone You Loved,271,Lewis Capaldi
Homesick,270,Dua Lipa
Floral & Fading,267,Pierce The Veil
Drew Barrymore,259,SZA
Hey There Delilah,256,Plain White T's
Silence,256,Marshmello
i,254,Kendrick Lamar
Dancing On My Own,253,Robyn
One,250,Lewis Capaldi
Be Alright,245,Dean Lewis
Say You Won't Let Go,243,James Arthur
This Is America,242,Childish Gambino
Alright,240,Kendrick Lamar
Oceans Away,233,A R I Z O N A
Hundred,229,Khalid
LOVE. FEAT. ZACARI.,226,Kendrick Lamar
Life @ 11,225,A Day To Remember
DNA.,224,Kendrick Lamar
Pool,224,Paramore
Godlight,223,Noah Kahan
Electricity,219,Silk City
Resentment,216,A Day To Remember
Cough Syrup,213,Young the Giant
no tears left to cry,213,Ariana Grande
Eastside (with Halsey & Khalid),211,benny blanco
Praying,210,Kesha
Welcome to the Black Parade,208,My Chemical Romance
Candlelight,207,Zhavia
King Kunta,204,Kendrick Lamar
NJ Legion Iced Tea,204,A Day To Remember
Can I Be Him,203,James Arthur
We Come Running,202,Youngblood Hawke
1985,200,Bowling For Soup
Car Radio,200,Twenty One Pilots
8TEEN,197,Khalid
Naivety,197,A Day To Remember
That's What You Get,196,Paramore
Neon Gravestones,195,Twenty One Pilots
Turning Out,195,AJR
I Really Like You,194,Carly Rae Jepsen
Sunflower - Spider-Man: Into the Spider-Verse,192,Post Malone
Fake Happy,190,Paramore
Middle,190,DJ Snake
We Got This,190,A Day To Remember
Dangerous Night,189,Thirty Seconds To Mars
Save Your Tears (with Ariana Grande) (Remix),188,The Weeknd
Safe Inside,187,James Arthur
Wow.,187,Post Malone
Young Dumb & Broke,187,Khalid
7 rings,185,Ariana Grande
Lay Me Down,185,Sam Smith
Ocean Avenue,185,Yellowcard
Supercut,185,Lorde
Twenty One,184,Khalid
Hurt Somebody,183,Noah Kahan
American Teen,182,Khalid
Mindreader,180,A Day To Remember
I'm Gonna Be,179,Post Malone
Johnny Boy,178,Twenty One Pilots
Location,176,Khalid
The Last Of The Real Ones,174,Fall Out Boy
High Diving,173,A Day To Remember
Busyhead,172,Noah Kahan
Holding on to You,171,Twenty One Pilots
Quite Miss Home,171,James Arthur
I Know You All over Again,169,Trixie Mattel
Famous Last Words,168,My Chemical Romance
God is a woman,168,Ariana Grande
Learn To Let Go,168,Kesha
You should be sad,167,Halsey
Heart to Break,166,Kim Petras
Mr. Brightside,166,The Killers
Delicate,165,Taylor Swift
Heavy Crown,164,Trixie Mattel
Narcisista por Excelencia,164,PXNDX
Lose You To Love Me,163,Selena Gomez
Don't Throw Out My Legos,162,AJR
Prom,162,SZA
Still Breathing,162,Green Day
ghostin,161,Ariana Grande
Infinity,160,AJR
It Ain't Me (with Selena Gomez),160,Kygo
"thank u, next",160,Ariana Grande
Fear Of Water,159,Noah Kahan
LA TERAPIA,159,Young Cister
Props & Mayhem,159,Pierce The Veil
Good Things,158,A Day To Remember
Brick by Boring Brick,157,Paramore
Fall,157,James Arthur
Too Good At Goodbyes - Acoustic,157,Sam Smith
Chlorine,156,Twenty One Pilots
Good Days,156,SZA
Stick Season,156,Noah Kahan
Kissing in Cars (Bonus Track),155,Pierce The Veil
3 O'Clock Things,153,AJR
Smile,153,Avril Lavigne
Trigger,153,Major Lazer
Miño,152,Los Bunkers
September,151,James Arthur
Someone Like You (feat. Joy Oladokun),147,Noah Kahan
Backseat Freestyle,146,Kendrick Lamar
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",146,Kygo
Opps (with Yugen Blakrok),146,Vince Staples
exile (feat. Bon Iver),146,Taylor Swift
Bored To Death,145,blink-182
Moving Parts (Guitar Version),145,Trixie Mattel
One Last Time,145,Ariana Grande
Love Someone,144,Lukas Graham
Take It Or Leave It,143,James Arthur
Perfect Places,142,Lorde
family ties (with Kendrick Lamar),141,Baby Keem
Skyline,140,Binaural Landscapes
betty,138,Taylor Swift
All I Can Give You,137,Jason Lancaster
I Don't Have A Broken Heart,137,Trixie Mattel
Maine,137,Noah Kahan
Looking Up,136,Paramore
New Normal,133,Khalid
Biblical,132,Calum Scott
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),131,Taylor Swift
Love Me Anyway (feat. Chris Stapleton),131,P!nk
Permanent,131,A Day To Remember
All My Love,129,Noah Kahan
Headlines,129,Drake
Mine,129,Bazzi
Step Right Up,129,The Red Jumpsuit Apparatus
The Downfall of Us All,129,A Day To Remember
illicit affairs,129,Taylor Swift
Alligator Blood,128,Bring Me The Horizon
Dial Drunk (with Post Malone),128,Noah Kahan
All I Know So Far,126,P!nk
34+35,123,Ariana Grande
Freaking Out,122,A R I Z O N A
The Woods,121,Angel Haze
Father Time (feat. Sampha),120,Kendrick Lamar
Teenagers,120,My Chemical Romance
Wild Horses - Sam Feldt Remix,118,Birdy
Crazier Things (with Noah Kahan),117,Chelsea Cutler
N95,117,Kendrick Lamar
City Of Angels,116,Thirty Seconds To Mars
All Signs Point to Lauderdale,115,A Day To Remember
Growing Sideways,115,Noah Kahan
A Tribe Called Red,114,Angel Haze
dorothea,114,Taylor Swift
Casi Amor De Verano,113,Young Cister
Tarot,113,Bad Bunny
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),112,Taylor Swift
I Guess That's Why They Call It The Blues,112,Elton John
Miracle,112,A Day To Remember
altar,111,Kehlani
Dance Now (feat. Kenny Mason),110,JID
Rise Up,110,Imagine Dragons
On Melancholy Hill,108,Gorillaz
The Outside,108,Twenty One Pilots
Candle In The Wind 1997,107,Elton John
King For A Day,106,Pierce The Veil
pov,105,Ariana Grande
Bang Bang,104,Jessie J
Count Me Out,104,Kendrick Lamar
Message In A Bottle (Taylor's Version) (From The Vault),104,Taylor Swift
Orange Juice,104,Noah Kahan
Raise Your Glass,102,P!nk
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),101,Taylor Swift
Shake It Out,99,Florence + The Machine
And I Am Telling You I'm Not Going,98,Jennifer Hudson
Where Them Girls At (feat. Nicki Minaj & Flo Rida),98,David Guetta
imagine,97,Ariana Grande
Is It Over Now? (Taylor's Version) (From The Vault),96,Taylor Swift
Speak Now (Taylor's Version),96,Taylor Swift
In Her Tomb By The Sounding Sea,95,Alesana
Perfect Situation,93,Weezer
Walking On Air,93,Katy Perry
I Write Sins Not Tragedies,92,Panic! At The Disco
Graveyard,91,A R I Z O N A
Redemption,91,Mo Heart
Auntie Diaries,86,Kendrick Lamar
off the table (with The Weeknd),86,Ariana Grande
Choker,85,Twenty One Pilots
Extraordinary Girl / Letterbomb,85,Green Day
My Life for Hire,82,A Day To Remember
Sensacion Del Bloque,81,De La Ghetto
DEBI LLEVARTE FLORES,80,Young Cister
Die Hard,79,Kendrick Lamar
This Is the House That Doubt Built,79,A Day To Remember
The Hardest Love,78,Dean Lewis
Midwest Indigo,77,Twenty One Pilots
Paul Revere,77,Noah Kahan
Oldies Station,75,Twenty One Pilots
The Hard Way,75,PNAU
American Teenager,73,Ethel Cain
Anxiety,71,Megan Thee Stallion
Not Like Us,71,Kendrick Lamar
we can't be friends (wait for your love),70,Ariana Grande
If We Were Vampires,69,Jason Isbell and the 400 Unit
151 Rum,68,JID
FANTASMA | AVC,68,Tainy
Kings And Queens,68,Thirty Seconds To Mars
Before I Forget,66,Slipknot
N.Y. State of Mind,66,Nas
How Did You Get Here,64,Little Simz
Losing You,64,James Arthur
ballad of a homeschooled girl,63,Olivia Rodrigo
Long Live (Taylor's Version),62,Taylor Swift
Blind,61,SZA
Right Where You Want Me to Be,56,A Day To Remember
Come And Get It,55,I Prevail
Haven't You Ever Been In Love Before?,54,Lewis Capaldi
Need Your Love (with Noah Kahan),54,Gryffin
Workin Out,53,JID
One More Try,50,Calum Scott
PUERTO ESCONDIDO,50,Young Cister
Cowboys Cry Too (with Noah Kahan),44,Kelsea Ballerini
