ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2015-07-29T18:00:20Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",21506,CL,200.111.22.58,School,Calvin Harris,18 Months,spotify:track:5oN8GXHYUkuzLuptAs5Gwp,,,,,,,,clickrow,fwdbtn,false,true,false,,false
2015-07-29T18:03:47Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",206413,CL,200.111.22.58,Feel So Close - Radio Edit,Calvin Harris,18 Months,spotify:track:1gihuPhrLraKYrJMAEONyc,,,,,,,,fwdbtn,trackdone,false,false,false,,false
2015-07-29T18:07:20Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",212560,CL,200.111.22.58,Sweet Nothing (feat. Florence Welch),Calvin Harris,18 Months,spotify:track:24LS4lQShWyixJ0ZrJXfJ5,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T18:12:53Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",332866,CL,200.111.22.58,We'll Be Coming Back (feat. Example) - Killsonik Remix,Calvin Harris,We'll Be Coming Back (feat. Example),spotify:track:5EAjCshmGUYJ5Iqcz4H1jU,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T18:15:01Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",127733,CL,200.111.22.58,Mansion,Calvin Harris,18 Months,spotify:track:4GlFGnToMsIrjHx73i0dTz,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T18:18:55Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",232799,CL,200.111.22.58,Let's Go (feat. Ne-Yo),Calvin Harris,18 Months,spotify:track:4wkQmYpAaMe41Rc3sYZ7Vz,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T18:23:17Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",231240,CL,200.111.22.58,Awooga,Calvin Harris,18 Months,spotify:track:29d6Ve1skFZv710ZDibJNN,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T18:26:59Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",220213,CL,200.111.22.58,Blue,Calvin Harris,Ready For The Weekend,spotify:track:0JLi3KQPgd2a6qLJZSluXP,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T18:31:40Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",280866,CL,200.111.22.58,Summer - R3hab & Ummet Ozcan Remix,Calvin Harris,Summer (Remixes),spotify:track:1X4l0BRQfy7K3VkUATgwro,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T18:36:58Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",318600,CL,200.111.22.58,We'll Be Coming Back (feat. Example) - Michael Woods Remix,Calvin Harris,We'll Be Coming Back (feat. Example),spotify:track:6JIoPNdhmi7MlIRpZ5ozuY,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T18:45:15Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",495306,CL,200.111.22.58,I'm Not Alone - Deadmau5 Mix,Calvin Harris,I'm Not Alone (Remixes),spotify:track:1xFPRq7rzAxdLVysdIQWXH,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T18:50:54Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",308786,CL,200.111.22.58,Sweet Nothing (feat. Florence Welch) - Diplo + Grandtheft Remix,Calvin Harris,Sweet Nothing (feat. Florence Welch),spotify:track:3CPBmuUQnW4b2o4yUlJOjx,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T18:56:38Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",344106,CL,200.111.22.58,I Need Your Love (feat. Ellie Goulding) - Nicky Romero Remix,Calvin Harris,I Need Your Love (feat. Ellie Goulding),spotify:track:74eDdfWtlPPhjsRstBXUBc,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T19:02:40Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",360853,CL,200.111.22.58,Bounce (feat. Kelis) - Extended Mix,Calvin Harris,Bounce,spotify:track:5t55aiK3plRbnXRcn20ImW,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T19:05:13Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",152453,CL,200.111.22.58,Here 2 China (feat. Dizzee Rascal),Calvin Harris,18 Months,spotify:track:0LA52DYNmflyXhzlADekfG,,,,,,,,trackdone,trackdone,false,false,false,,false
2015-07-29T21:45:49Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",1531,CL,200.111.22.58,Bounce (feat. Kelis) - Radio Edit,Calvin Harris,18 Months,spotify:track:36cmM3MBMWWCFIiQ90U4J8,,,,,,,,appload,endplay,true,true,false,,false
2015-07-30T00:06:03Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",1531,CL,200.111.22.58,Bounce (feat. Kelis) - Radio Edit,Calvin Harris,18 Months,spotify:track:36cmM3MBMWWCFIiQ90U4J8,,,,,,,,appload,endplay,true,true,false,,false
2015-07-30T00:06:14Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",12306,CL,200.111.22.58,Bounce (feat. Kelis) - Radio Edit,Calvin Harris,18 Months,spotify:track:36cmM3MBMWWCFIiQ90U4J8,,,,,,,,clickrow,fwdbtn,true,true,false,,false
2015-07-30T00:06:18Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",4318,CL,200.111.22.58,School,Calvin Harris,18 Months,spotify:track:5oN8GXHYUkuzLuptAs5Gwp,,,,,,,,fwdbtn,fwdbtn,true,true,false,,false
2015-07-30T00:06:21Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",3482,CL,200.111.22.58,Thinking About You (feat. Ayah Marar) - Firebeatz remix,Calvin Harris,Thinking About You (feat. Ayah Marar),spotify:track:2nQpI5duHrJGc5gYHmU2vL,,,,,,,,fwdbtn,fwdbtn,true,true,false,,false
2015-07-30T00:06:24Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",3090,CL,200.111.22.58,We Found Love (feat. Rihanna),Calvin Harris,18 Months,spotify:track:0385HqYimoTQaHZP17KwG1,,,,,,,,fwdbtn,fwdbtn,true,true,false,,false
2015-07-30T00:10:19Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",234506,CL,200.111.22.58,I Need Your Love (feat. Ellie Goulding),Calvin Harris,18 Months,spotify:track:05SBRd4fXgn8FX7bf8BCAE,,,,,,,,fwdbtn,trackdone,true,false,false,,false
2015-07-30T00:14:10Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",231240,CL,200.111.22.58,Awooga,Calvin Harris,18 Months,spotify:track:29d6Ve1skFZv710ZDibJNN,,,,,,,,trackdone,trackdone,true,false,false,,false
2015-07-30T00:16:19Z,"Android OS 4.1.2 API 16 (samsung, GT-S6310L)",128045,CL,200.111.22.58,Worst Day,Calvin Harris,Ready For The Weekend,spotify:track:6arsyAmwDQLn5sSfsJOmsx,,,,,,,,trackdone,fwdbtn,true,true,false,,false
