artista,canciones
A Day To Remember,18
Noah Kahan,15
Kendrick Lamar,14
Ariana Grande,13
Khalid,12
Taylor Swift,12
Twenty One Pilots,9
James Arthur,8
Young Cister,6
AJR,5
Paramore,5
Pierce The Veil,4
Post Malone,4
SZA,4
Trixie Mattel,4
A R I Z O N A,3
Calum Scott,3
JID,3
Lewis Capaldi,3
My Chemical Romance,3
P!nk,3
Sampha,3
Thirty Seconds To Mars,3
Angel Haze,2
Chris Stapleton,2
Dean Lewis,2
Diplo,2
Elton John,2
Fall Out Boy,2
Green Day,2
Halsey,2
JHAYCO,2
Kesha,2
Kygo,2
Little Simz,2
Lorde,2
Nicki Minaj,2
Sam Smith,2
Selena Gomez,2
The Weeknd,2
Alesana,1
Amanda Reifer,1
Andra Day,1
Avril Lavigne,1
Baby Keem,1
Bad Bunny,1
Bipolar Sunshine,1
Birdy,1
Blxst,1
Bon Iver,1
Bowling For Soup,1
Bring Me The Horizon,1
Carly Rae Jepsen,1
Chelsea Cutler,1
Childish Gambino,1
DJ Snake,1
David Guetta,1
De La Ghetto,1
Death Stranding: Timefall,1
Drake,1
DrefQuila,1
Dua Lipa,1
Easykid,1
Ethel Cain,1
Flo Rida,1
Florence + The Machine,1
Glee Cast,1
Gorillaz,1
Gryffin,1
I Prevail,1
Jason Isbell and the 400 Unit,1
Jason Lancaster,1
Jennifer Hudson,1
Jessie J,1
Jimmy Eat World,1
Joy Oladokun,1
Julia Michaels,1
Katy Perry,1
Kehlani,1
Kellin Quinn,1
Kelsea Ballerini,1
Kenny Mason,1
Kidd Voodoo,1
Kim Petras,1
LACUEVA,1
LOS 4F,1
Lola Young,1
Los Bunkers,1
Lukas Graham,1
Major Lazer,1
Mark Ronson,1
Marshmello,1
Megan Thee Stallion,1
Mo Heart,1
Morad,1
Nas,1
Nikxz,1
Olivia Rodrigo,1
PNAU,1
PXNDX,1
Panic! At The Disco,1
Plain White T's,1
Polimá Westcoast,1
Randy,1
Rita Ora,1
Rivers Cuomo,1
Sabrina Carpenter,1
Sam Feldt,1
Seven Lions,1
Silk City,1
Slipknot,1
Swae Lee,1
Taiko,1
Tainy,1
Tems,1
The Killers,1
The Red Jumpsuit Apparatus,1
"Tyler, The Creator",1
Vince Staples,1
Weezer,1
Yellowcard,1
Young the Giant,1
Youngblood Hawke,1
Yugen Blakrok,1
Zacari,1
Zhavia,1
benny blanco,1
blink-182,1
