ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-11-27T03:25:55Z,windows,128983,CL,186.10.25.34,Carry On,fun.,Some Nights,spotify:track:5xZjfKSfTooDP2rcAgjxlH,,,,,,,,trackdone,fwdbtn,true,true,false,1701055426,false
2023-11-27T03:25:57Z,windows,1000,CL,186.10.25.34,Jump (feat. Busy Signal),Major Lazer,Know No Better,spotify:track:6s9vjLMlKSacgN2tqhOpXD,,,,,,,,fwdbtn,fwdbtn,true,true,false,1701055557,false
2023-11-27T03:25:58Z,windows,1810,CL,186.10.25.34,For The Last Time,Dean Lewis,A Place We Knew,spotify:track:0lfximMUQVygKNbWlFlsP5,,,,,,,,fwdbtn,fwdbtn,true,true,false,1701055558,false
2023-11-27T03:26:06Z,windows,7510,CL,186.10.25.34,Besos,Culto Reggae,Amor del Bueno,spotify:track:0ivk9171FfU1n6bpaR2Vg6,,,,,,,,fwdbtn,fwdbtn,true,true,false,1701055560,false
2023-11-27T03:30:17Z,windows,241501,CL,186.10.25.34,No Way,SIX,Six: The Musical (Studio Cast Recording),spotify:track:2ldBp6eNIE4wk8C3j0bz8n,,,,,,,,fwdbtn,trackdone,true,false,false,1701055567,false
2023-11-27T03:30:48Z,windows,30478,CL,186.10.25.34,Only Love Can Save Us Now,Kesha,Gag Order,spotify:track:3sSDCpbg9ju2bqKDfcPTzm,,,,,,,,trackdone,fwdbtn,true,true,false,1701055818,false
2023-11-27T03:30:49Z,windows,840,CL,186.10.25.34,love language,Ariana Grande,Positions,spotify:track:4iIrJ94pkIEnGZWv1MhIRC,,,,,,,,fwdbtn,fwdbtn,true,true,false,1701055850,false
2023-11-27T03:31:00Z,windows,9930,CL,186.10.25.34,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,Some Type of Love,spotify:track:6ukMqDxnOPOgoHdak7Kyp3,,,,,,,,fwdbtn,fwdbtn,true,true,false,1701055851,false
2023-11-27T03:34:13Z,windows,194206,CL,186.10.25.34,"You're On Your Own, Kid",Taylor Swift,Midnights,spotify:track:7gVWKBcfIW93YxNBi3ApIE,,,,,,,,fwdbtn,trackdone,true,false,false,1701055861,false
2023-11-27T03:34:35Z,windows,20633,CL,186.10.25.34,Special,SZA,SOS,spotify:track:6RQ5IwG7uADz9LDWliJGjU,,,,,,,,trackdone,endplay,true,true,false,1701056054,false
