ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-05-10T15:25:35Z,ios,187689,CL,146.155.158.79,"U Wear It Well (feat. The Cast of Canada's Drag Race, Season 1) - Queens of the North Ru-Mix",RuPaul,"U Wear It Well (feat. The Cast of Canada's Drag Race, Season 1)",spotify:track:0EtxPFlhGrIK40OtqVMolb,,,,,,,,trackdone,trackdone,false,false,false,1715354546,false
2024-05-10T16:20:57Z,ios,161776,CL,45.232.32.41,Vacation,Trixie Mattel,The Blonde & Pink Albums,spotify:track:0QrNShSN5NeDLaBTlJ9S1I,,,,,,,,trackdone,unexpected-exit-while-paused,false,false,false,1715354735,false
2024-05-10T16:24:44Z,ios,219724,CL,45.232.32.41,vampire,Olivia Rodrigo,GUTS,spotify:track:1kuGVB7EU95pJObxwvfwKS,,,,,,,,clickrow,trackdone,false,false,false,1715358065,false
2024-05-10T16:28:23Z,ios,218120,CL,45.232.32.41,Vampire Money,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,spotify:track:4kXHIm097G3CemN3PzcpgL,,,,,,,,trackdone,trackdone,false,false,false,1715358284,false
2024-05-10T16:31:12Z,ios,168941,CL,45.232.32.41,HIND'S HALL,Macklemore,HIND'S HALL,spotify:track:1zOgXnODZUp87IGbF3b8YB,,,,,,,,trackdone,trackdone,false,false,false,1715358503,false
2024-05-10T16:33:19Z,ios,126956,CL,45.232.32.41,Van Gogh (feat. Lil Yachty),JID,BlakkBoyz present Half Doin Dope/Van Gogh,spotify:track:2tcI5EedPVjrxwewRQs62W,,,,,,,,trackdone,trackdone,false,false,false,1715358672,false
2024-05-10T16:36:23Z,ios,183560,CL,45.232.32.41,Va Va Voom,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:2jATUzETZL49e6SywauZKE,,,,,,,,trackdone,trackdone,false,false,false,1715358799,false
2024-05-10T16:40:24Z,ios,239766,CL,45.232.32.41,Ven,Culto Reggae,Amor del Bueno,spotify:track:4fjL9GZks7iKmOVmVsTwkv,,,,,,,,trackdone,trackdone,false,false,false,1715358983,false
2024-05-10T16:42:41Z,ios,136572,CL,45.232.32.41,vent,Baby Keem,The Melodic Blue (Deluxe),spotify:track:3eI3GbmhTl5iVqobDHPtBZ,,,,,,,,trackdone,trackdone,false,false,false,1715359224,false
2024-05-10T16:46:19Z,ios,217226,CL,45.232.32.41,Veo en ti la luz,Chayanne,Enredados,spotify:track:199LDzwbUTc2wEroyRxhBM,,,,,,,,trackdone,trackdone,false,false,false,1715359361,false
